,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
221,N/A,N/A,mkc,N/A,N/A,N/A,N/A,N/A,120.94,32.663669064748206,N/A,6.63,13.74,19.06,6.21,21.18,40.82,22508743400.0,28450000000.0,32.37,6.35,5.24,24.07,5350000000.0,2150000000.0,1180000000.0,745900000.0,5.56,30.40,7.60,946800000.0,1.39,4430000000.0,1.02,27.40,988100000.0,0.36,0.07,85.06,2720000.0,3.56,0.36,3620000.0,181.61,123940000.0,N/A
222,N/A,N/A,mmc,N/A,N/A,N/A,N/A,N/A,213.02,30.91404011461318,N/A,7.48,10.33,20.97,7.34,23.49,34.06,54605286800.0,69150000000.0,21.24,4.22,4.01,16.01,16649999999.999998,7340000000.0,4320000000.0,1780000000.0,3.49,5.70,14.20,2360000000.0,2.92,15870000000.0,1.13,14.42,5.70,0.87,0.19,90.66,5070000.0,1.63,1.00,6470000.0,107.89,506120000.0,N/A
223,N/A,N/A,mmm,N/A,N/A,N/A,N/A,N/A,228.64,18.431924882629108,N/A,8.90,15.37,21.95,10.40,49.92,56.08,90329408000.0,109260000000.0,17.57,13.72,3.38,12.47,32140000000.0,15400000000.0,8760000000.0,4970000000.0,8.52,47.00,2.70,7070000000.0,7.78,23340000000.0,1.65,17.64,7230000000.0,0.99,0.18,69.95,6090000.0,1.4,1.06,8289999.999999999,157.04,575200000.0,N/A
224,N/A,N/A,mnst,N/A,N/A,N/A,N/A,N/A,0.78,33.45893719806764,N/A,9.43,26.06,33.82,19.14,29.73,7.99,36469545600.0,35560000000.0,28.74,2.87,8.24,23.30,4200000000.0,2520000000.0,1530000000.0,1130000000.0,2.07,8.30,12.30,1110000000.0,1.78,30320000.0,2.92,7.35,1180000000.0,1.05,9.91,69.40,6910000.0,2.93,1.86,8010000.0,69.26,526559999.99999994,N/A
225,N/A,N/A,mo,N/A,N/A,N/A,N/A,N/A,449.00,8.736141906873614,N/A,11.19,1860000000.0,55.17,12.61,12710000000.0,10.97,73284000000.0,97710000000.0,8.74,2.92,4.78,8.48,19800000000.0,12710000000.0,11520000000.0,4.51,4.51,39.10,15.00,7840000000.0,3.02,29970000000.0,0.71,3.52,8680000000.0,0.46,0.10,64.19,12480000.0,1.18,0.67,16250000.0,39.40,1860000000.0,N/A
226,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,106.46,19.99492385786802,N/A,7.59,21.10,32.73,11.76,37.55,18.84,198525600000.0,219500000000.0,12.98,2.48,4.57,11.52,46840000000.0,33680000000.0,19060000000.0,10150000000.0,3.94,12.50,11.50,13440000000.0,2.95,0.68,1.12,10.38,12810000000.0,0.5,0.08,78.55,14560000.0,1.31,0.58,18990000.0,78.78,2520000000.0,N/A
227,N/A,N/A,mro,N/A,N/A,N/A,N/A,N/A,47.59,19.125,N/A,0.40,5.28,12.03,1.80,2.15,6.12,4836697200.0,9710000000.0,5.28,1.97,1.97,3.06,5120000000.0,3810000000.0,3180000000.0,0.32,0.32,73.99,73.99,2750000000.0,1.03,5690000000.0,1.32,15.12,2940000000.0,3.39,0.33,87.78,45680000.0,1.05,7.48,65370000.00000001,6.12,790310000.0,N/A
228,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,73.38,34.376666666666665,N/A,13.67,33.36,37.46,11.84,44.20,18.18,1563450800000.0,1.51,33.11,2.38,10.89,23.57,125840000000.0,82930000000.0,64090000000.0,46270000000.0,6.00,22.80,14.60,52190000000.0,18.15,84020000000.0,2.90,15.09,58110000000.0,0.93,1.42,74.09,42930000.0,1.24,0.57,44240000.0,206.26,7580000000.0,N/A
229,N/A,N/A,msi,N/A,N/A,N/A,N/A,N/A,46.87,25.92898272552783,N/A,30.50,11.59,21.88,10.41,3950000000.0,46.87,23735313000.0,27820000000.0,15.80,1.75,3.53,13.10,7890000000.0,3950000000.0,2120000000.0,5.21,5.21,30.20,50.27,1820000000.0,9.83,6500000000.0,1.15,30.50,1880000000.0,0.66,0.43,88.33,2660000.0,1.49,2.04,2320000.0,135.09,175700000.0,N/A
230,N/A,N/A,mur,N/A,N/A,N/A,N/A,N/A,74.21,3.1215596330275224,N/A,0.43,24.76,25.31,3.82,2300000000.0,17.62,2090087700.0,5680000000.0,24.76,0.42,2.03,2.84,2830000000.0,2300000000.0,3780000000.0,4.36,4.36,78.92,78.92,1490000000.0,2.65,3780000000.0,1.40,31.82,1660000000.0,3.28,5.74,103.31,20100000.0,4.36,22.42,26880000.0,13.61,153570000.0,N/A
231,N/A,N/A,myl,N/A,N/A,N/A,N/A,N/A,114.24,132.75,N/A,0.73,0.54,14.26,3.34,0.54,22.52,8235013500.000001,20460000000.0,3.49,1.43,1.76,5.95,11500000000.0,4550000000.0,3440000000.0,62600000.0,0.12,5.00,5.00,1800000000.0,1.24,12870000000.0,1.26,21.79,2130000000.0,1.54,1.37,87.96,32330000.0,4.58,8.04,27660000.0,15.93,516950000.00000006,N/A
232,N/A,N/A,nbl,N/A,N/A,N/A,N/A,N/A,173.42,5.218579234972678,N/A,1.04,473630000.0,N/A,2820000000.0,2820000000.0,9.19,4581135000.0,12880000000.0,473630000.0,1.83,2.93,5.21,4390000000.0,2820000000.0,2470000000.0,1.83,1.83,0.90,0.90,1970000000.0,2.91,8940000000.0,1.32,9.17,1950000000.0,2.6,1.29,99.06,16719999.999999998,1.41,4.59,23020000.0,9.55,479700000.0,N/A
233,N/A,N/A,nbr,N/A,N/A,N/A,N/A,N/A,164.17,1153.3333333333335,N/A,0.16,6410000.0,N/A,1110000000.0,1110000000.0,420.67,252580000.0,3680000000.0,6410000.0,0.03,1.24,4.62,3040000000.0,1110000000.0,795700000.0,0.03,0.03,36.86,36.86,684560000.0,67.08,3400000000.0,2.17,213.17,673870000.0,3.23,7.03,68.67,1490000.0,0.96,25.67,1630000.0,34.60,7300000.0,N/A
234,N/A,N/A,ndaq,N/A,N/A,N/A,N/A,N/A,82.92,27.473684210526315,N/A,3.66,15.95,25.07,4.89,13.40,27.76,19698244200.0,23070000000.0,21.06,2.85,5.04,17.25,4260000000.0,2540000000.0,1340000000.0,4.37,4.37,30.20,30.20,1030000000.0,6.76,4480000000.0,0.97,32.83,1010000000.0,0.75,18.68,79.35,2870000.0,3.6,2.51,2890000.0,120.06,164070000.0,N/A
235,N/A,N/A,ne,N/A,N/A,N/A,N/A,N/A,152.26,30.0,N/A,0.03,223110000.0,4.77,0.45,547720000.0,4.98,75285000.0,3850000000.0,223110000.0,0.01,3.10,7.80,1250000000.0,547720000.0,493630000.0,0.01,0.01,44.67,44.67,186770000.0,0.7,3950000000.0,0.94,10.35,226740000.0,2.3,1.80,83.14,20610000.0,0.61,9.87,22270000.0,0.30,250950000.0,N/A
236,N/A,N/A,nee,N/A,N/A,N/A,N/A,N/A,114.82,34.22222222222222,N/A,3.31,17.78,30.76,3.31,7.82,40.73,120600480000.0,169180000000.0,24.96,3.36,8.57,15.94,19200000000.0,11290000000.0,10610000000.0,3510000000.0,7.20,13.20,13.20,8150000000.0,6.81,47210000000.0,0.71,74.38,8449999999.999999,0.23,0.18,81.04,6050000.0,2.51,1.24,6580000.0,246.40,489450000.0,N/A
237,N/A,N/A,nem,N/A,N/A,N/A,N/A,N/A,30.17,13.82312925170068,N/A,2.24,33.66,17.91,3.89,21.28,13.09,48925886400.0,52890000000.0,19.99,1.37,5.03,12.59,9740000000.0,4380000000.0,4200000000.0,3600000000.0,4.41,531.40,43.20,2870000000.0,4.84,6870000000.0,3.31,27.19,3230000000.0,0.34,0.38,85.93,14500000.0,1.37,2.43,13290000.0,60.96,802590000.0,N/A
238,N/A,N/A,nflx,N/A,N/A,N/A,N/A,N/A,193.42,96.53643724696356,N/A,24.94,10.43,14.50,6.23,31.63,48.82,209736222000.0,220840000000.0,55.71,2.06,10.32,68.76,20160000000.0,7720000000.0,3210000000.0,2230000000.0,4.94,106.60,27.60,4470000000.0,11.72,16270000000.0,0.82,19.12,106.60,0.96,1.62,83.49,11320000.0,1.87,2.63,12920000.0,476.89,439800000.0,N/A
239,N/A,N/A,ni,N/A,N/A,N/A,N/A,N/A,176.37,48.666666666666664,N/A,1.84,4.85,27.26,3.79,4.16,13.11,8942208000.0,19740000000.0,16.93,3.65,3.99,9.79,5210000000.0,2340000000.0,2020000000.0,184700000.0,0.48,48.53,48.53,1580000000.0,0.53,10130000000.0,0.77,12.70,1550000000.0,0.21,0.38,94.63,6460000.0,2.27,2.27,6110000.0,23.36,382800000.0,N/A
240,N/A,N/A,nke,N/A,N/A,N/A,N/A,N/A,161.58,61.518750000000004,N/A,19.01,6.79,8.33,7.07,29.70,24.00,122053200000.00002,157360000000.0,30.19,1.80,4.21,41.67,37400000000.0,16239999999.999998,3780000000.0,2540000000.0,1.60,43.42,43.42,5900000000.0,5.65,13020000000.0,2.48,5.18,43.42,0.81,1.17,85.83,10210000.0,1.37,1.14,11430000.0,98.43,1240000000.0,N/A
241,N/A,N/A,noc,N/A,N/A,N/A,N/A,N/A,199.88,23.323551542513172,N/A,5.72,6.57,8.95,4.63,25.31,203.12,51671999000.00001,66510000000.00001,12.24,1.53,1.94,16.29,33840000000.000004,7260000000.0,4080000000.0,2250000000.0,13.29,1.80,5.30,4300000000.0,19.66,18110000000.0,1.29,54.23,4219999999.9999995,0.8,0.49,84.06,1280000.0,1.27,0.96,1530000.0,309.97,166700000.0,N/A
242,N/A,N/A,nov,N/A,N/A,N/A,N/A,N/A,49.75,15.921052631578947,N/A,0.86,386340000.0,N/A,914250000.0,914250000.0,22.00,4697462000.0,6410000000.0,386340000.0,0.76,0.76,4.67,8480000000.0,1300000000.0,2760000000.0,0.76,0.76,9.65,9.65,1620000000.0,2.87,2760000000.0,2.73,14.13,9.65,1.81,0.42,98.47,17920000.0,4.16,4.63,23980000.0,12.10,388220000.0,N/A
243,N/A,N/A,nsc,N/A,N/A,N/A,N/A,N/A,83.89,18.92733188720173,N/A,3.00,21.89,36.50,6.79,16.06,42.49,44705971800.0,56580000000.0,16.51,3.56,5.11,10.90,11300000000.0,5190000000.0,5190000000.0,2420000000.0,9.22,46.85,46.85,3890000000.0,2.37,12490000000.0,0.89,58.10,3970000000.0,1.37,0.12,76.23,3010000.0,1.18,1.18,3550000.0,174.51,256180000.0,N/A
244,N/A,N/A,ntap,N/A,N/A,N/A,N/A,N/A,748.76,12.37215909090909,N/A,39.41,15.13,17.20,7.16,122.97,23.53,9632389000.0,8580000000.0,10.81,2.17,1.59,7.91,5410000000.0,3620000000.0,1080000000.0,3.52,3.52,66.94,66.94,1060000000.0,13.02,1810000000.0,1.18,1.11,1060000000.0,1.27,0.31,98.98,13280000.0,5.46,9.24,10990000.0,43.55,221180000.0,N/A
245,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,41.93,16.046511627906977,N/A,1.23,3.57,7.66,5.89,8.48,72.72,12467196000.0,15950000000.0,14.89,6.50,0.72,6.43,22590000000.0,2700000000.0,2480000000.0,783970000.0,2.58,11.00,11.00,2810000000.0,4.62,4440000000.0,3.54,33.77,2360000000.0,1.45,0.65,81.57,3640000.0,1.75,1.39,5240000.0,41.40,301140000.0,N/A
246,N/A,N/A,nvda,N/A,N/A,N/A,N/A,N/A,57.85,71.86728971962617,N/A,18.05,28.18,29.41,11.62,29.11,19.28,2891364800.0,227690000000.0,38.92,3.18,19.33,58.97,10920000000.0,6770000000.0,3860000000.0,3320000000.0,5.35,129.70,38.70,4760000000.0,26.59,7580000000.0,10.29,21.30,4950000000.0,1.34,4.15,69.23,7520000.0,0.47,1.28,10030000.0,384.49,7520000.0,N/A
247,N/A,N/A,nwl,N/A,N/A,N/A,N/A,N/A,190.95,12.5748031496063,N/A,1.96,420470000.0,8.42,3.14,3240000000.0,22.57,6772877000.0,12960000000.0,12.57,1.36,1.36,10.34,9710000000.0,3240000000.0,1250000000.0,1.27,1.27,33.45,33.45,1040000000.0,1.12,6640000000.0,1.33,8.14,1270000000.0,1.04,0.78,90.56,13230000.0,3.42,4.65,14750000.0,15.97,424100000.0,N/A
248,N/A,N/A,nwsa,N/A,N/A,N/A,N/A,N/A,29.78,66.83333333333333,N/A,0.90,507100000.0,4.70,1.84,4450000000.0,16.27,4677985800.0,8980000000.0,66.83,10.49,0.94,10.20,10070000000.0,4450000000.0,2550000000.0,0.18,0.18,43.96,43.96,1890000000.0,2.36,2550000000.0,1.39,13.31,43.96,1.49,0.58,101.46,9310000.0,3.39,2.41,8560000.0,12.03,388860000.0,N/A
249,N/A,N/A,oi,N/A,N/A,N/A,N/A,N/A,42.49,5.5357142857142865,N/A,1.68,154900000.0,9.01,3.79,1210000000.0,42.49,1456101000.0,7060000000.0,5.54,4.35,1.07,6.87,6690000000.0,1210000000.0,1030000000.0,1.68,1.68,17.83,17.83,0.15,5.69,6400000000.0,1.62,1.68,17.83,1.62,1.04,95.37,7260000.0,3.21,4.67,8480000.0,9.30,156570000.0,N/A
250,N/A,N/A,oke,N/A,N/A,N/A,N/A,N/A,261.33,16.744791666666668,N/A,2.39,8.40,20.53,5.97,13.32,23.00,13313636500.0,27310000000.0,10.97,2.87,2.87,11.15,10160000000.0,3380000000.0,2450000000.0,798410000.0,1.92,35.84,35.84,1950000000.0,1.28,14530000000.0,1.36,13.44,2020000000.0,2.14,0.67,75.92,14110000.0,1.85,4.40,12440000.0,32.15,414110000.0,N/A
251,N/A,N/A,omc,N/A,N/A,N/A,N/A,N/A,202.40,8.967159277504106,N/A,4.78,8.96,13.88,5.28,44.90,68.26,11701830800.0,16020000000.0,10.04,8.57,1.08,6.98,14950000000.0,2710000000.0,2300000000.0,1330000000.0,6.09,1.70,18.03,1860000000.0,12.57,6330000000.0,0.92,11.42,1260000000.0,0.74,0.87,107.51,17860000.0,6.22,9.54,20780000.0,54.61,214280000.0,N/A
252,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,579.63,18.162337662337663,N/A,14.21,25.94,36.22,7.89,57.78,12.17,176211000000.0,202960000000.0,12.68,1.53,5.20,12.43,39070000000.0,31130000000.0,16329999999.999998,10140000000.0,3.08,79.68,79.68,13140000000.0,14.03,73710000000.0,3.03,3.94,13140000000.0,0.86,36.36,52.78,30370000.0,2.63,1.58,30340000.0,55.94,3150000000.0,N/A
253,N/A,N/A,orly,N/A,N/A,N/A,N/A,N/A,134.21,24.009539842873178,N/A,291.65,13.41,18.61,11.23,569.53,134.21,31759305500.0,37920000000.0,21.57,1.75,3.71,17.38,10150000000.0,5390000000.0,2180000000.0,1370000000.0,17.82,2.70,2.70,1710000000.0,3.87,6450000000.0,0.91,1.47,1730000000.0,1.07,1.65,88.04,1120000.0,1.89,1.54,1310000.0,427.85,74230000.0,N/A
254,N/A,N/A,oxy,N/A,N/A,N/A,N/A,N/A,133.53,53.87878787878788,N/A,0.74,897350000.0,8.81,1.72,12060000000.0,26.93,16300348400.000002,65530000000.0,897350000.0,0.33,2.87,6.47,20390000000.0,12060000000.0,10120000000.0,0.33,0.33,60.10,60.10,7380000000.0,2.25,41790000000.0,1.18,23.92,7770000000.0,1.94,0.17,84.51,52980000.0,1.08,6.42,77050000.0,17.78,916780000.0,N/A
255,N/A,N/A,payx,N/A,N/A,N/A,N/A,N/A,35.89,24.947882736156355,N/A,9.95,26.98,36.06,9.33,41.35,11.44,27474364800.0,27610000000.0,27.55,8.08,6.72,16.29,3770000000.0,2590000000.0,1690000000.0,1110000000.0,3.07,8.90,6.80,1270000000.0,2.38,990600000.0,1.18,7.69,1300000000.0,0.93,10.76,70.51,10720000.0,4.55,3.35,12510000.0,76.59,358720000.0,N/A
256,N/A,N/A,pbi,N/A,N/A,N/A,N/A,N/A,18.59,4.735849056603773,N/A,14.59,171210000.0,6.56,2.46,1280000000.0,18.59,433301299.99999994,2540000000.0,4.74,0.79,0.79,6.80,3210000000.0,1280000000.0,373430000.0,0.53,0.53,0.10,0.10,252210000.0,4.23,2840000000.0,1.30,0.17,116190000.0,2.57,0.66,80.82,25900000.0,11.8,20.17,29410000.0,2.51,172630000.0,N/A
257,N/A,N/A,pcar,N/A,N/A,N/A,N/A,N/A,116.13,12.426929392446635,N/A,2.71,8.73,11.01,6.25,22.60,69.99,26164846400.000004,33030000000.0,16.97,1.36,1.36,10.53,25600000000.0,3860000000.0,3140000000.0,2120000000.0,6.09,14.40,14.40,2860000000.0,12.52,11190000000.0,5.05,27.88,2920000000.0,1.16,2.01,65.42,4280000.0,2.28,1.26,4910000.0,75.68,345730000.0,N/A
258,N/A,N/A,pcg,N/A,N/A,N/A,N/A,N/A,477.64,3.9705882352941173,N/A,0.91,497750000.0,10.90,1.40,4580000000.0,32.95,5006515499.999999,30810000000.0,3.97,1.07,1.77,5.93,17129999999.999998,4580000000.0,5190000000.0,2.38,2.38,128.00,7.40,4820000000.0,3.7,27510000000.0,1.12,10.40,4179999999.9999995,1.13,0.15,83.61,31850000.0,2.48,6.39,20080000.0,9.45,529789999.99999994,N/A
259,N/A,N/A,pdco,N/A,N/A,N/A,N/A,N/A,82.27,13.670807453416149,N/A,2.49,84310000.0,3.39,3.89,1200000000.0,58.31,2108778100.0000002,2690000000.0,13.67,5.28,0.49,10.03,5490000000.0,1200000000.0,268329999.99999997,1.61,1.61,21.81,21.81,540940000.0,0.82,688170000.0,1.43,8.83,21.81,1.52,11.91,94.20,12400000.0,10.21,20.39,10810000.0,22.01,95810000.0,N/A
260,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,111.76,17.706713780918726,N/A,1.66,14.59,26.10,3.42,9.59,19.60,25336618200.0,41660000000.0,14.70,6.23,4.22,10.38,10080000000.0,3610000000.0,4010000000.0,1440000000.0,2.83,36.75,36.75,3380000000.0,1.58,17040000000.0,0.72,30.26,3310000000.0,0.58,0.06,72.25,6790000.0,2.44,1.39,6790000.0,50.11,505620000.0,N/A
261,N/A,N/A,pep,N/A,N/A,N/A,N/A,N/A,304.17,25.74612403100775,N/A,13.70,10.62,15.67,8.32,52.28,48.86,184661500000.0,214420000000.0,22.63,5.38,3.15,17.06,67160000000.0,37180000000.0,12570000000.0,7240000000.0,5.16,7.70,7.70,9650000000.0,8.11,41240000000.0,1.10,9.69,9240000000.0,0.59,0.14,73.53,11690000.0,1.27,0.65,11690000.0,132.85,1390000000.0,N/A
262,N/A,N/A,pets,N/A,N/A,N/A,N/A,N/A,0.09,27.627906976744185,N/A,5.48,9.10,10.90,12.50,19.53,14.18,718858800.0,608580000.0,21.73,3.15,2.14,18.31,284120000.0,81250000.0,33229999.999999996,25850000.0,1.29,9.30,15.10,38840000.0,5.19,4.42,5.30,6.51,38840000.0,0.71,3.63,90.13,6060000.0,9.53,37.37,5350000.0,35.64,20170000.0,N/A
263,N/A,N/A,pfe,N/A,N/A,N/A,N/A,N/A,80.03,12.325,N/A,2.95,31.17,29.36,5.78,25.41,9.13,191530500000.0,234040000000.0,11.17,4.62,4.62,11.40,51750000000.0,41740000000.0,20530000000.0,15780000000.0,2.80,80.37,80.37,12590000000.0,1.87,52290000000.0,1.02,11.71,14020000000.0,0.69,0.04,72.56,53750000.0,1.75,0.97,52590000.0,34.51,5550000000.0,N/A
264,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,29.12,9.125279642058166,N/A,0.86,7.36,8.78,0.37,9.63,61.33,11171157300.0,10830000000.0,7.17,1.77,0.64,6.27,16219999999.999998,6200000000.0,1730000000.0,1250000000.0,4.47,21.60,21.60,5490000000.0,16.39,3850000000.0,2.82,47.21,5910000000.0,1.63,0.33,74.51,4410000.0,2.55,1.84,3920000.0,40.79,273870000.0,N/A
265,N/A,N/A,pg,N/A,N/A,N/A,N/A,N/A,80.32,64.98924731182795,N/A,6.70,7.09,22.80,8.35,10.01,28.20,298573600000.0,323440000000.0,23.25,3.24,4.60,16.97,67680000000.00001,33439999999.999996,19060000000.0,4730000000.0,1.86,7.30,4.60,15240000000.0,6.22,36900000000.0,0.82,18.03,16750000000.0,0.4,0.11,65.03,16620000.000000002,2.22,0.68,18710000.0,120.88,2470000000.0,N/A
266,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,38.27,13.074257425742577,N/A,3.35,9.19,11.94,5.54,26.72,66.81,46373319000.0,49800000000.0,14.41,23.31,1.28,10.02,33470000000.0,5530000000.0,4970000000.0,3560000000.0,6.06,0.30,0.30,6260000000.0,4.94,5580000000.0,0.41,23.68,6020000000.0,0.51,0.29,82.12,5590000.0,1.75,0.96,5250000.0,79.23,585300000.0,N/A
267,N/A,N/A,ph,N/A,N/A,N/A,N/A,N/A,146.99,17.921645445641527,N/A,3.73,9.31,14.49,7.19,21.50,110.69,23461695600.0,31950000000.0,19.63,4.97,2.25,12.50,14320000000.0,3630000000.0,2560000000.0,1320000000.0,10.21,0.40,0.40,1730000000.0,6.16,9270000000.0,1.49,49.10,1930000000.0,1.67,0.35,83.66,1790000.0,1.21,1.41,2170000.0,182.98,128220000.0,N/A
268,N/A,N/A,pki,N/A,N/A,N/A,N/A,N/A,79.72,48.48514851485148,N/A,3.95,7.82,13.38,3.87,8.37,26.02,10909536600.0,12910000000.0,21.20,2.37,4.47,21.15,2880000000.0,1420000000.0,610730000.0,226020000.0,2.02,0.60,0.60,363470000.0,1.75,2200000000.0,1.84,24.79,428840000.0,1.37,0.81,99.00,2920000.0,5.35,5.35,2460000.0,97.94,111390000.0,N/A
269,N/A,N/A,pll,N/A,N/A,N/A,N/A,N/A,17.77,1.1927194860813706,N/A,3.48,0.00,0.00,100.00,100.00,0.00,57538100.0,39360000.0,0.00,4.67,4.67,4.67,2640000.0,2640000.0,2390000.0,4.67,4.67,100.00,100.00,8320000.0,1.09,2390000.0,6.20,1.60,100.00,1.27,0.00,0.10,3.9,0.13,1.27,8.82,5.57,10330000.0,N/A
270,N/A,N/A,pm,N/A,N/A,N/A,N/A,N/A,19.42,14.350305498981669,N/A,34.90,25.35,38.34,19.17,19290000000.0,19.42,109917599999.99998,136220000000.0,13.02,3.25,4.51,10.86,29800000000.0,19290000000.0,12550000000.0,7640000000.0,4.91,34.70,6.00,10090000000.0,2.41,28370000000.0,1.02,34.90,9960000000.0,0.79,0.22,75.22,7980000.0,1.54,0.51,9030000.0,70.46,1560000000.0,N/A
271,N/A,N/A,pnr,N/A,N/A,N/A,N/A,N/A,81.03,16.780269058295964,N/A,3.28,12.66,15.67,6.62,20.30,17.68,6201242400.0,7570000000.0,15.92,5.37,2.54,13.87,2960000000.0,1050000000.0,545600000.0,2.23,2.23,46.40,3.10,4200000.0,1.02,1530000000.0,1.96,11.42,446900000.0,1.32,0.25,90.89,1510000.0,1.3,1.03,2270000.0,37.42,165720000.0,N/A
272,N/A,N/A,pnw,N/A,N/A,N/A,N/A,N/A,109.17,15.579918032786885,N/A,1.56,16.22,20.16,2.35,10.38,30.16,8552614700.0,14730000000.0,14.97,3.51,4.34,10.88,3470000000.0,1490000000.0,1350000000.0,550400000.0,4.88,67.00,43.48,956730000.0,0.56,6110000000.0,0.47,48.62,966920000.0,0.33,0.43,87.19,2610000.0,1.9,3.06,2880000.0,76.03,112490000.0,N/A
273,N/A,N/A,ppg,N/A,N/A,N/A,N/A,N/A,144.72,22.123732251521297,N/A,5.45,7.88,11.91,6.26,24.37,62.90,25731794400.0,30910000000.0,18.12,5.43,2.07,13.45,15150000000.0,6530000000.0,2300000000.0,1170000000.0,4.93,43.25,43.25,2080000000.0,8.23,0.91,1.36,20.02,1990000000.0,1.27,0.42,78.90,3100000.0,1.56,1.32,2520000.0,109.07,235920000.0,N/A
274,N/A,N/A,ppl,N/A,N/A,N/A,N/A,N/A,178.52,10.685714285714285,N/A,1.52,23.68,41.13,4.38,14.43,10.46,20126136800.0,42850000000.0,10.73,3.71,5.53,9.55,7770000000.0,4360000000.0,4490000000.0,1830000000.0,2.45,12.50,57.15,2430000000.0,1.19,23640000000.0,0.56,17.24,2640000000.0,0.77,0.07,71.20,11810000.0,1.89,1.54,10670000.0,26.18,768760000.0,N/A
275,N/A,N/A,prgo,N/A,N/A,N/A,N/A,N/A,62.18,40.28467153284671,N/A,1.30,3.77,9.48,2.63,3.28,36.77,7522948900.0,10610000000.0,12.63,1.37,2.12,12.23,4840000000.0,1770000000.0,867200000.0,188600000.0,1.37,63.80,14.20,387800000.0,3.77,3600000000.0,1.86,42.45,465100000.0,1.21,0.41,86.44,3300000.0,3.68,3.47,3170000.0,55.19,136310000.0,N/A
276,N/A,N/A,pru,N/A,N/A,N/A,N/A,N/A,62.04,8.156808803301239,N/A,0.39,4.73,5.61,0.26,5.20,157.02,23352340000.0,17630000000.0,5.26,0.74,0.28,4.09,64709999999.99999,18400000000.0,4310000000.0,2940000000.0,7.27,27.42,27.42,19620000000.0,112.18,37890000000.0,0.80,153.48,31310000000.0,1.71,0.20,67.48,9790000.0,2.53,2.48,2.48,59.30,393800000.0,N/A
277,N/A,N/A,psa,N/A,N/A,N/A,N/A,N/A,27.01,27.123809523809527,N/A,7.03,51.54,52.13,8.47,16.83,16.92,34846134400.0,44180000000.0,27.92,1.65,14.98,21.40,2920000000.0,2120000000.0,2060000000.0,1280000000.0,7.35,3.50,4.70,2069999999.9999998,4.11,2440000000.0,2.07,28.36,2060000000.0,0.14,13.27,80.70,4780000.0,4.73,3.66,5060000.0,199.36,174790000.0,N/A
278,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,54.84,82.43373493975905,N/A,1.40,0.36,3.46,4.08,2.70,234.89,29877645600.0,43890000000.0,10.32,0.42,0.42,8.81,107290000000.0,11760000000.0,4980000000.0,0.83,0.83,11.57,11.57,4810000000.0,2.8,12960000000.0,1.11,48.94,5500000000.0,1.62,0.35,71.91,5850000.0,1.75,1.34,7540000.0,68.42,436680000.0,N/A
279,N/A,N/A,pwr,N/A,N/A,N/A,N/A,N/A,51.51,17.912442396313363,N/A,1.41,2.65,4.53,4.30,8.70,82.92,5350455500.0,6930000000.0,10.12,1.41,0.57,8.31,12110000000.0,1600000000.0,833890000.0,320240000.0,2.17,13.00,13.00,526549999.99999994,2.74,1950000000.0,1.78,27.54,836850000.0,1.14,0.92,100.96,5530000.0,3.66,4.57,6370000.0,38.87,137650000.0,N/A
280,N/A,N/A,pxd,N/A,N/A,N/A,N/A,N/A,23.85,23.269230769230766,N/A,1.31,7.36,22.42,7.07,5.69,56.79,15901336000.0,18050000000.0,41.55,4.01,1.91,4.68,9680000000.0,4030000000.0000005,3860000000.0,4.16,4.16,39.86,39.86,3120000000.0,5.01,2910000000.0,1.00,74.07,3340000000.0,1.78,0.93,93.58,4880000.0,1.77,2.99,6010000.0,96.80,164270000.0,N/A
281,N/A,N/A,qcom,N/A,N/A,N/A,N/A,N/A,540.85,26.941348973607038,N/A,34.00,16.36,33.54,15.73,117.15,21.07,102894400000.0,109870000000.0,15.62,0.91,4.44,11.34,24270000000.0,15670000000.0,9690000000.0,4050000000.0,3.41,4.70,4.70,7290000000.0,8.84,16469999999.999998,1.57,2.70,8340000000.0,1.35,0.12,79.91,15390000.0,1.38,1.37,14700000.0,91.87,1120000000.0,N/A
